,id,data_type,ttg_type,error_type,filename,path
0,ID_000000,leather,ground_truth,fold,006_mask.png,../data/leather/ground_truth/fold/006_mask.png
1,ID_000001,leather,ground_truth,fold,003_mask.png,../data/leather/ground_truth/fold/003_mask.png
2,ID_000002,leather,ground_truth,fold,015_mask.png,../data/leather/ground_truth/fold/015_mask.png
3,ID_000003,leather,ground_truth,fold,001_mask.png,../data/leather/ground_truth/fold/001_mask.png
4,ID_000004,leather,ground_truth,fold,000_mask.png,../data/leather/ground_truth/fold/000_mask.png
5,ID_000005,leather,ground_truth,fold,004_mask.png,../data/leather/ground_truth/fold/004_mask.png
6,ID_000006,leather,ground_truth,fold,014_mask.png,../data/leather/ground_truth/fold/014_mask.png
7,ID_000007,leather,ground_truth,fold,016_mask.png,../data/leather/ground_truth/fold/016_mask.png
8,ID_000008,leather,ground_truth,fold,011_mask.png,../data/leather/ground_truth/fold/011_mask.png
9,ID_000009,leather,ground_truth,fold,002_mask.png,../data/leather/ground_truth/fold/002_mask.png
10,ID_000010,leather,ground_truth,fold,005_mask.png,../data/leather/ground_truth/fold/005_mask.png
11,ID_000011,leather,ground_truth,fold,012_mask.png,../data/leather/ground_truth/fold/012_mask.png
12,ID_000012,leather,ground_truth,fold,008_mask.png,../data/leather/ground_truth/fold/008_mask.png
13,ID_000013,leather,ground_truth,fold,013_mask.png,../data/leather/ground_truth/fold/013_mask.png
14,ID_000014,leather,ground_truth,fold,010_mask.png,../data/leather/ground_truth/fold/010_mask.png
15,ID_000015,leather,ground_truth,fold,007_mask.png,../data/leather/ground_truth/fold/007_mask.png
16,ID_000016,leather,ground_truth,fold,009_mask.png,../data/leather/ground_truth/fold/009_mask.png
17,ID_000017,leather,ground_truth,cut,006_mask.png,../data/leather/ground_truth/cut/006_mask.png
18,ID_000018,leather,ground_truth,cut,003_mask.png,../data/leather/ground_truth/cut/003_mask.png
19,ID_000019,leather,ground_truth,cut,015_mask.png,../data/leather/ground_truth/cut/015_mask.png
20,ID_000020,leather,ground_truth,cut,001_mask.png,../data/leather/ground_truth/cut/001_mask.png
21,ID_000021,leather,ground_truth,cut,000_mask.png,../data/leather/ground_truth/cut/000_mask.png
22,ID_000022,leather,ground_truth,cut,004_mask.png,../data/leather/ground_truth/cut/004_mask.png
23,ID_000023,leather,ground_truth,cut,014_mask.png,../data/leather/ground_truth/cut/014_mask.png
24,ID_000024,leather,ground_truth,cut,016_mask.png,../data/leather/ground_truth/cut/016_mask.png
25,ID_000025,leather,ground_truth,cut,011_mask.png,../data/leather/ground_truth/cut/011_mask.png
26,ID_000026,leather,ground_truth,cut,002_mask.png,../data/leather/ground_truth/cut/002_mask.png
27,ID_000027,leather,ground_truth,cut,005_mask.png,../data/leather/ground_truth/cut/005_mask.png
28,ID_000028,leather,ground_truth,cut,012_mask.png,../data/leather/ground_truth/cut/012_mask.png
29,ID_000029,leather,ground_truth,cut,008_mask.png,../data/leather/ground_truth/cut/008_mask.png
30,ID_000030,leather,ground_truth,cut,013_mask.png,../data/leather/ground_truth/cut/013_mask.png
31,ID_000031,leather,ground_truth,cut,010_mask.png,../data/leather/ground_truth/cut/010_mask.png
32,ID_000032,leather,ground_truth,cut,007_mask.png,../data/leather/ground_truth/cut/007_mask.png
33,ID_000033,leather,ground_truth,cut,018_mask.png,../data/leather/ground_truth/cut/018_mask.png
34,ID_000034,leather,ground_truth,cut,017_mask.png,../data/leather/ground_truth/cut/017_mask.png
35,ID_000035,leather,ground_truth,cut,009_mask.png,../data/leather/ground_truth/cut/009_mask.png
36,ID_000036,leather,ground_truth,poke,006_mask.png,../data/leather/ground_truth/poke/006_mask.png
37,ID_000037,leather,ground_truth,poke,003_mask.png,../data/leather/ground_truth/poke/003_mask.png
38,ID_000038,leather,ground_truth,poke,015_mask.png,../data/leather/ground_truth/poke/015_mask.png
39,ID_000039,leather,ground_truth,poke,001_mask.png,../data/leather/ground_truth/poke/001_mask.png
40,ID_000040,leather,ground_truth,poke,000_mask.png,../data/leather/ground_truth/poke/000_mask.png
41,ID_000041,leather,ground_truth,poke,004_mask.png,../data/leather/ground_truth/poke/004_mask.png
42,ID_000042,leather,ground_truth,poke,014_mask.png,../data/leather/ground_truth/poke/014_mask.png
43,ID_000043,leather,ground_truth,poke,016_mask.png,../data/leather/ground_truth/poke/016_mask.png
44,ID_000044,leather,ground_truth,poke,011_mask.png,../data/leather/ground_truth/poke/011_mask.png
45,ID_000045,leather,ground_truth,poke,002_mask.png,../data/leather/ground_truth/poke/002_mask.png
46,ID_000046,leather,ground_truth,poke,005_mask.png,../data/leather/ground_truth/poke/005_mask.png
47,ID_000047,leather,ground_truth,poke,012_mask.png,../data/leather/ground_truth/poke/012_mask.png
48,ID_000048,leather,ground_truth,poke,008_mask.png,../data/leather/ground_truth/poke/008_mask.png
49,ID_000049,leather,ground_truth,poke,013_mask.png,../data/leather/ground_truth/poke/013_mask.png
50,ID_000050,leather,ground_truth,poke,010_mask.png,../data/leather/ground_truth/poke/010_mask.png
51,ID_000051,leather,ground_truth,poke,007_mask.png,../data/leather/ground_truth/poke/007_mask.png
52,ID_000052,leather,ground_truth,poke,017_mask.png,../data/leather/ground_truth/poke/017_mask.png
53,ID_000053,leather,ground_truth,poke,009_mask.png,../data/leather/ground_truth/poke/009_mask.png
54,ID_000054,leather,ground_truth,glue,006_mask.png,../data/leather/ground_truth/glue/006_mask.png
55,ID_000055,leather,ground_truth,glue,003_mask.png,../data/leather/ground_truth/glue/003_mask.png
56,ID_000056,leather,ground_truth,glue,015_mask.png,../data/leather/ground_truth/glue/015_mask.png
57,ID_000057,leather,ground_truth,glue,001_mask.png,../data/leather/ground_truth/glue/001_mask.png
58,ID_000058,leather,ground_truth,glue,000_mask.png,../data/leather/ground_truth/glue/000_mask.png
59,ID_000059,leather,ground_truth,glue,004_mask.png,../data/leather/ground_truth/glue/004_mask.png
60,ID_000060,leather,ground_truth,glue,014_mask.png,../data/leather/ground_truth/glue/014_mask.png
61,ID_000061,leather,ground_truth,glue,016_mask.png,../data/leather/ground_truth/glue/016_mask.png
62,ID_000062,leather,ground_truth,glue,011_mask.png,../data/leather/ground_truth/glue/011_mask.png
63,ID_000063,leather,ground_truth,glue,002_mask.png,../data/leather/ground_truth/glue/002_mask.png
64,ID_000064,leather,ground_truth,glue,005_mask.png,../data/leather/ground_truth/glue/005_mask.png
65,ID_000065,leather,ground_truth,glue,012_mask.png,../data/leather/ground_truth/glue/012_mask.png
66,ID_000066,leather,ground_truth,glue,008_mask.png,../data/leather/ground_truth/glue/008_mask.png
67,ID_000067,leather,ground_truth,glue,013_mask.png,../data/leather/ground_truth/glue/013_mask.png
68,ID_000068,leather,ground_truth,glue,010_mask.png,../data/leather/ground_truth/glue/010_mask.png
69,ID_000069,leather,ground_truth,glue,007_mask.png,../data/leather/ground_truth/glue/007_mask.png
70,ID_000070,leather,ground_truth,glue,018_mask.png,../data/leather/ground_truth/glue/018_mask.png
71,ID_000071,leather,ground_truth,glue,017_mask.png,../data/leather/ground_truth/glue/017_mask.png
72,ID_000072,leather,ground_truth,glue,009_mask.png,../data/leather/ground_truth/glue/009_mask.png
73,ID_000073,leather,ground_truth,color,006_mask.png,../data/leather/ground_truth/color/006_mask.png
74,ID_000074,leather,ground_truth,color,003_mask.png,../data/leather/ground_truth/color/003_mask.png
75,ID_000075,leather,ground_truth,color,015_mask.png,../data/leather/ground_truth/color/015_mask.png
76,ID_000076,leather,ground_truth,color,001_mask.png,../data/leather/ground_truth/color/001_mask.png
77,ID_000077,leather,ground_truth,color,000_mask.png,../data/leather/ground_truth/color/000_mask.png
78,ID_000078,leather,ground_truth,color,004_mask.png,../data/leather/ground_truth/color/004_mask.png
79,ID_000079,leather,ground_truth,color,014_mask.png,../data/leather/ground_truth/color/014_mask.png
80,ID_000080,leather,ground_truth,color,016_mask.png,../data/leather/ground_truth/color/016_mask.png
81,ID_000081,leather,ground_truth,color,011_mask.png,../data/leather/ground_truth/color/011_mask.png
82,ID_000082,leather,ground_truth,color,002_mask.png,../data/leather/ground_truth/color/002_mask.png
83,ID_000083,leather,ground_truth,color,005_mask.png,../data/leather/ground_truth/color/005_mask.png
84,ID_000084,leather,ground_truth,color,012_mask.png,../data/leather/ground_truth/color/012_mask.png
85,ID_000085,leather,ground_truth,color,008_mask.png,../data/leather/ground_truth/color/008_mask.png
86,ID_000086,leather,ground_truth,color,013_mask.png,../data/leather/ground_truth/color/013_mask.png
87,ID_000087,leather,ground_truth,color,010_mask.png,../data/leather/ground_truth/color/010_mask.png
88,ID_000088,leather,ground_truth,color,007_mask.png,../data/leather/ground_truth/color/007_mask.png
89,ID_000089,leather,ground_truth,color,018_mask.png,../data/leather/ground_truth/color/018_mask.png
90,ID_000090,leather,ground_truth,color,017_mask.png,../data/leather/ground_truth/color/017_mask.png
91,ID_000091,leather,ground_truth,color,009_mask.png,../data/leather/ground_truth/color/009_mask.png
92,ID_000092,leather,train,good,143.png,../data/leather/train/good/143.png
93,ID_000093,leather,train,good,171.png,../data/leather/train/good/171.png
94,ID_000094,leather,train,good,129.png,../data/leather/train/good/129.png
95,ID_000095,leather,train,good,058.png,../data/leather/train/good/058.png
96,ID_000096,leather,train,good,049.png,../data/leather/train/good/049.png
97,ID_000097,leather,train,good,135.png,../data/leather/train/good/135.png
98,ID_000098,leather,train,good,031.png,../data/leather/train/good/031.png
99,ID_000099,leather,train,good,094.png,../data/leather/train/good/094.png
100,ID_000100,leather,train,good,167.png,../data/leather/train/good/167.png
101,ID_000101,leather,train,good,240.png,../data/leather/train/good/240.png
102,ID_000102,leather,train,good,115.png,../data/leather/train/good/115.png
103,ID_000103,leather,train,good,177.png,../data/leather/train/good/177.png
104,ID_000104,leather,train,good,215.png,../data/leather/train/good/215.png
105,ID_000105,leather,train,good,001.png,../data/leather/train/good/001.png
106,ID_000106,leather,train,good,194.png,../data/leather/train/good/194.png
107,ID_000107,leather,train,good,052.png,../data/leather/train/good/052.png
108,ID_000108,leather,train,good,173.png,../data/leather/train/good/173.png
109,ID_000109,leather,train,good,039.png,../data/leather/train/good/039.png
110,ID_000110,leather,train,good,130.png,../data/leather/train/good/130.png
111,ID_000111,leather,train,good,140.png,../data/leather/train/good/140.png
112,ID_000112,leather,train,good,020.png,../data/leather/train/good/020.png
113,ID_000113,leather,train,good,195.png,../data/leather/train/good/195.png
114,ID_000114,leather,train,good,073.png,../data/leather/train/good/073.png
115,ID_000115,leather,train,good,046.png,../data/leather/train/good/046.png
116,ID_000116,leather,train,good,205.png,../data/leather/train/good/205.png
117,ID_000117,leather,train,good,085.png,../data/leather/train/good/085.png
118,ID_000118,leather,train,good,092.png,../data/leather/train/good/092.png
119,ID_000119,leather,train,good,133.png,../data/leather/train/good/133.png
120,ID_000120,leather,train,good,089.png,../data/leather/train/good/089.png
121,ID_000121,leather,train,good,053.png,../data/leather/train/good/053.png
122,ID_000122,leather,train,good,066.png,../data/leather/train/good/066.png
